game,player,ball,bonus_x,bonus,lit_spinner,extra_balls,tilt,score_at_end
0,alex,1,1,9,false,0,false,31890
0,alex,2,3,19,true,0,true,193770
0,alex,3,1,8,false,0,false,237580
0,alex,4,1,27,true,0,true,534830
0,alex,5,1,29,true,0,false,613680
1,alex,1,1,3,false,0,false,6310
1,alex,2,1,12,false,0,false,40060
1,alex,3,3,16,false,0,false,129800
1,alex,4,1,4,false,0,false,141760
1,alex,5,3,29,true,1,false,691780
1,alex,6,1,8,true,1,true,715410
1,alex,7,1,12,false,0,false,772180
2,alex,1,1,3,false,0,false,7370
2,alex,2,1,4,false,0,false,19040
2,alex,3,1,5,false,0,false,36920
2,alex,4,1,2,false,0,false,43880
2,alex,5,1,5,false,0,false,56210
3,alex,1,1,6,false,0,false,13620
3,alex,2,1,22,true,0,false,77520
3,alex,3,1,6,false,0,false,90350
3,alex,4,1,4,false,0,false,106940
3,alex,5,3,6,false,0,false,136740
4,alex,1,1,13,true,0,false,27430
4,alex,2,1,2,false,0,false,35190
4,alex,3,1,4,false,0,false,47220
4,alex,4,1,9,false,0,false,66160
4,alex,5,3,28,true,0,false,329760
5,alex,1,3,29,true,1,false,538770
5,alex,2,1,29,false,0,false,886370
5,alex,3,1,7,false,0,false,917300
5,alex,4,1,2,false,0,false,923920
5,alex,5,1,5,false,0,false,941590
5,alex,6,1,11,false,1,false,994470
5,alex,7,1,4,false,0,false,1004580
6,alex,1,1,12,false,0,false,64500
6,alex,2,1,27,true,0,false,166150
6,alex,3,1,19,true,1,false,361370
6,alex,4,1,1,false,0,false,366020
6,alex,5,1,3,false,0,false,373770
6,alex,6,1,8,true,0,false,480030
7,alex,1,1,7,true,0,false,32830
7,alex,2,1,27,true,0,false,225500
7,alex,3,2,15,false,0,false,306850
7,alex,4,1,10,true,0,false,420390
7,alex,5,1,4,false,0,false,433720
8,alex,1,1,20,false,0,false,55670
8,alex,2,3,29,false,0,false,299680
8,alex,3,2,29,true,0,false,656600
8,alex,4,1,5,false,0,false,669210
8,alex,5,3,8,false,0,false,731130
9,alex,1,1,5,false,0,false,19840
9,alex,2,3,28,true,0,false,305570
9,alex,3,3,29,false,0,false,1005880
9,alex,4,1,4,false,0,false,1023970
9,alex,5,3,12,false,1,false,1101540
9,alex,6,3,29,true,0,false,1489070
